"BE","QPS Tables 2.1"
"JH","Project Sheet1     "
"JF"," "
"TB","B0A3"
"VT","(B0) TOMA"
"HT","Header C"
"BT","b1.All Respondents"
"CH",,"³¬ÄÜ",,,,"°ÂÃî",,,,"ÎÀÐÂ",,,,"ÂèÂèÒ¼Ñ¡",,,
"CL",,"aware (a)","non aware (b)","buyer (c)","aware but not buyer (d)","aware (a)","non aware (b)","buyer (c)","aware but not buyer (d)","aware (a)","non aware (b)","buyer (c)","aware but not buyer (d)","aware (a)","non aware (b)","buyer (c)","aware but not buyer (d)"
"RU","Unweighted row",402.0,998.0,194.0,208.0,389.0,1011.0,162.0,227.0,126.0,1274.0,42.0,84.0,256.0,1144.0,111.0,145.0
"RT","×ÜÌå",402.0,998.0,194.0,208.0,389.0,1011.0,162.0,227.0,126.0,1274.0,42.0,84.0,256.0,1144.0,111.0,145.0
"PV",,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"RW","Ì­×Õ Tide",29.0,52.0,11.0,18.0,29.0,52.0,13.0,16.0,9.0,72.0,2.0,7.0,15.0,66.0,8.0,7.0
"PV",,7.21393034825871,5.21042084168337,5.67010309278351,8.65384615384615,7.45501285347044,5.14342235410485,8.02469135802469,7.04845814977974,7.14285714285714,5.65149136577708,4.76190476190476,8.33333333333333,5.859375,5.76923076923077,7.20720720720721,4.82758620689655
"MK",," "," "," ",b," "," "," "," "," "," "," "," "," "," "," "," "
"RW","±ÌÀË Ariel",14.0,47.0,4.0,10.0,10.0,51.0,5.0,5.0,5.0,56.0,2.0,3.0,11.0,50.0,3.0,8.0
"PV",,3.48258706467662,4.70941883767535,2.06185567010309,4.80769230769231,2.5706940874036,5.04451038575668,3.08641975308642,2.20264317180617,3.96825396825397,4.3956043956044,4.76190476190476,3.57142857142857,4.296875,4.37062937062937,2.7027027027027,5.51724137931035
"MK",," ",c," "," "," ",ad," "," "," "," "," "," "," "," "," "," "
"RW","À¶ÔÂÁÁ Blue Moon",80.0,224.0,36.0,44.0,87.0,217.0,35.0,52.0,22.0,282.0,5.0,17.0,57.0,247.0,27.0,30.0
