"BE","QPS Tables 2.1"
"JH","Project Sheet1     "
"JF"," "
"TB","B0A1"
"VT","(B0) TOMA"
"HT","Header A"
"BT","b1.All Respondents"
"CH",,"National","Age",,,,"City tier",,,,"Income",,,,"REGION",,,,"University Student",,"City",,,,"Province",,,,,,,,,,,,,"North+4 total","North+4 China1+1","China1+/1","PURCHASE FORM  USAG",,,,,
"CL",,"Total","18-24 (a)","25-34 (b)","35-44 (c)","45+ (d)","Top4 (a)","A city (b)","B city (c)","C city (d)","China1+ (a)","China1 (b)","China2 (c)","China3 (d)","East (a)","South (b)","West (c)","North (d)","Yes (a)","No (b)","Beijing (a)","Shanghai (b)","Guangzhou (c)","Chengdu (d)","广西  (a)","四川省 (b)","陕西省 (c)","福建省 (d)","重庆市 (e)","湖北省 (f)","广东省 (g)","河北省 (h)","辽宁省 (i)","山东省 (j)","江苏省 (k)","浙江省 (l)","河南省 (m)","(a)","(a)","(a)","洗衣液 (a)","洗衣粉 (b)","洗衣皂 (c)","洗衣凝珠 (d)","衣物柔顺剂 (e)","消毒液（如滴露、威露士） (f)"
"RU","Unweighted row",3415.0,498.0,1282.0,1053.0,582.0,346.0,932.0,1258.0,879.0,293.0,604.0,1291.0,1227.0,791.0,786.0,540.0,1298.0,189.0,309.0,106.0,90.0,96.0,52.0,153.0,239.0,102.0,133.0,105.0,165.0,355.0,397.0,244.0,551.0,288.0,134.0,353.0,1298.0,290.0,897.0,2806.0,2059.0,1563.0,164.0,810.0,691.0
"RT","总体",3415.0,498.0,1282.0,1053.0,582.0,346.0,932.0,1258.0,879.0,293.0,604.0,1291.0,1227.0,791.0,786.0,540.0,1298.0,189.0,309.0,106.0,90.0,96.0,52.0,153.0,239.0,102.0,133.0,105.0,165.0,355.0,397.0,244.0,551.0,288.0,134.0,353.0,1298.0,290.0,897.0,2806.0,2059.0,1563.0,164.0,810.0,691.0
"PV",,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"RW","汰渍 Tide",208.0,20.0,68.0,80.0,40.0,23.0,69.0,79.0,37.0,17.0,50.0,73.0,68.0,50.0,61.0,32.0,65.0,10.0,10.0,2.0,9.0,6.0,5.0,10.0,16.0,6.0,7.0,7.0,14.0,26.0,25.0,15.0,23.0,18.0,10.0,20.0,65.0,16.0,67.0,164.0,134.0,99.0,12.0,46.0,38.0
"PV",,6.09077598828697,4.01606425702811,5.30421216848674,7.59734093067426,6.87285223367698,6.64739884393064,7.40343347639485,6.27980922098569,4.20932878270762,5.80204778156997,8.27814569536424,5.65453137103021,5.54197229013855,6.32111251580278,7.76081424936387,5.92592592592593,5.00770416024653,5.29100529100529,3.23624595469256,1.88679245283019,10.0,6.25,9.61538461538462,6.5359477124183,6.69456066945607,5.88235294117647,5.26315789473684,6.66666666666667,8.48484848484848,7.32394366197183,6.29722921914358,6.14754098360656,4.17422867513612,6.25,7.46268656716418,5.6657223796034,5.00770416024653,5.51724137931035,7.46934225195095,5.84461867426942,6.50801359883439,6.33397312859885,7.31707317073171,5.67901234567901,5.49927641099855
"MK",," "," "," ",ab,a," ",d,d," "," ",cd," "," "," ",d," "," "," "," "," ",a," ",a," "," "," "," "," ",j,j," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"RW","碧浪 Ariel",197.0,14.0,77.0,63.0,43.0,26.0,50.0,58.0,63.0,10.0,39.0,88.0,60.0,22.0,24.0,14.0,137.0,7.0,7.0,16.0,1.0,6.0,2.0,3.0,5.0,6.0,3.0,3.0,5.0,12.0,37.0,33.0,51.0,13.0,3.0,6.0,137.0,26.0,49.0,153.0,141.0,100.0,19.0,63.0,41.0
"PV",,5.76866764275256,2.81124497991968,6.00624024960998,5.98290598290598,7.38831615120275,7.51445086705202,5.36480686695279,4.61049284578696,7.16723549488055,3.41296928327645,6.45695364238411,6.81642137877614,4.88997555012225,2.78128950695322,3.05343511450382,2.59259259259259,10.5546995377504,3.7037037037037,2.26537216828479,15.0943396226415,1.11111111111111,6.25,3.84615384615385,1.96078431372549,2.09205020920502,5.88235294117647,2.25563909774436,2.85714285714286,3.03030303030303,3.38028169014085,9.31989924433249,13.5245901639344,9.25589836660617,4.51388888888889,2.23880597014925,1.69971671388102,10.5546995377504,8.96551724137931,5.46265328874025,5.45260156806842,6.84798445847499,6.39795265515035,11.5853658536585,7.77777777777778,5.93342981186686
"MK",," "," ",a,a,a,c," "," ",c," ",a,ad," "," "," "," ",abc," "," ",bcd," ",b," "," "," ",m," "," "," "," ",abdefgklm,abcdefgjklm,abdefgklm,m," "," "," "," "," "," ",a," ",abcf,a," "
"RW","蓝月亮 Blue Moon",681.0,124.0,214.0,212.0,131.0,75.0,199.0,246.0,161.0,52.0,123.0,285.0,221.0,152.0,161.0,122.0,246.0,57.0,67.0,33.0,13.0,20.0,9.0,36.0,47.0,18.0,30.0,30.0,30.0,80.0,67.0,61.0,85.0,55.0,29.0,67.0,246.0,55.0,175.0,633.0,296.0,272.0,30.0,174.0,143.0
"PV",,19.9414348462665,24.8995983935743,16.6926677067083,20.1329534662868,22.5085910652921,21.6763005780347,21.3519313304721,19.5548489666137,18.316268486917,17.7474402730375,20.364238410596,22.0759101471727,18.0114099429503,19.2161820480405,20.4834605597964,22.5925925925926,18.9522342064715,30.1587301587302,21.6828478964401,31.1320754716981,14.4444444444444,20.8333333333333,17.3076923076923,23.5294117647059,19.6652719665272,17.6470588235294,22.5563909774436,28.5714285714286,18.1818181818182,22.5352112676056,16.8765743073048,25.0,15.426497277677,19.0972222222222,21.6417910447761,18.9801699716714,18.9522342064715,18.9655172413793,19.5094760312152,22.5588025659302,14.3759106362312,17.402431222009,18.2926829268293,21.4814814814815,20.6946454413893
"MK",," ",bc," ",b,b," "," "," "," "," "," ",ad," "," "," ",d," ",b," ",bcd," "," "," ",hj," "," ",j,bcfhjkm," ",hj," ",fhjm," "," "," "," "," "," "," ",bc," ",b," ",bc,bc
"RW","立白 Liby",865.0,162.0,382.0,222.0,99.0,73.0,226.0,335.0,231.0,73.0,152.0,310.0,330.0,185.0,233.0,160.0,287.0,58.0,104.0,14.0,14.0,34.0,11.0,48.0,75.0,21.0,25.0,28.0,51.0,138.0,93.0,41.0,139.0,49.0,26.0,103.0,287.0,66.0,225.0,672.0,568.0,412.0,36.0,166.0,147.0
"PV",,25.3294289897511,32.5301204819277,29.7971918876755,21.0826210826211,17.0103092783505,21.0982658959538,24.2489270386266,26.6295707472178,26.2798634812287,24.9146757679181,25.1655629139073,24.012393493416,26.8948655256724,23.3881163084703,29.6437659033079,29.6296296296296,22.1109399075501,30.6878306878307,33.6569579288026,13.2075471698113,15.5555555555556,35.4166666666667,21.1538461538462,31.3725490196078,31.3807531380753,20.5882352941176,18.796992481203,26.6666666666667,30.9090909090909,38.8732394366197,23.4256926952141,16.8032786885246,25.2268602540835,17.0138888888889,19.4029850746269,29.1784702549575,22.1109399075501,22.7586206896552,25.0836120401338,23.9486813970064,27.5862068965517,26.3595649392195,21.9512195121951,20.4938271604938,21.273516642547
"MK",," ",cd,cd,d," "," "," ",a,a," "," "," ",c," ",ad,ad," "," "," "," "," ",abd," ",cdhikl,cdhijkl," "," ",ik,cdhikl,abcdefhijklm,ik," ",dik," "," ",cdhikl," "," "," ",e,adef,aef," "," "," "
"RW","好爸爸 Kispa",100.0,29.0,46.0,19.0,6.0,12.0,22.0,34.0,32.0,11.0,22.0,36.0,31.0,23.0,22.0,15.0,40.0,9.0,20.0,1.0,5.0,2.0,4.0,1.0,9.0,6.0,3.0,3.0,6.0,5.0,7.0,4.0,28.0,8.0,4.0,10.0,40.0,13.0,33.0,79.0,64.0,54.0,1.0,23.0,26.0
"PV",,2.92825768667643,5.82329317269076,3.58814352574103,1.80436847103514,1.03092783505155,3.46820809248555,2.36051502145923,2.7027027027027,3.64050056882821,3.7542662116041,3.64238410596026,2.78853601859024,2.52648736756316,2.90771175726928,2.79898218829517,2.77777777777778,3.08166409861325,4.76190476190476,6.47249190938511,0.943396226415094,5.55555555555556,2.08333333333333,7.69230769230769,0.65359477124183,3.76569037656904,5.88235294117647,2.25563909774436,2.85714285714286,3.63636363636364,1.40845070422535,1.7632241813602,1.63934426229508,5.08166969147005,2.77777777777778,2.98507462686567,2.8328611898017,3.08166409861325,4.48275862068965,3.67892976588629,2.81539558089808,3.10830500242836,3.45489443378119,0.609756097560976,2.83950617283951,3.76266280752533
"MK",," ",bcd,cd," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",a," ",a," ",ag,aghi," "," ",a," "," "," ",adghikm,a," ",a," "," "," ",d,d,d," ",d,d
"RW","雕牌 Diaopai",644.0,65.0,242.0,214.0,123.0,36.0,172.0,261.0,175.0,59.0,85.0,236.0,264.0,164.0,114.0,114.0,252.0,21.0,44.0,12.0,12.0,5.0,7.0,31.0,48.0,21.0,35.0,22.0,32.0,28.0,88.0,37.0,115.0,62.0,22.0,79.0,252.0,53.0,144.0,501.0,443.0,323.0,18.0,140.0,114.0
"PV",,18.8579795021962,13.0522088353414,18.8767550702028,20.3228869895537,21.1340206185567,10.4046242774566,18.4549356223176,20.7472178060413,19.9089874857793,20.1365187713311,14.0728476821192,18.280402788536,21.5158924205379,20.7332490518331,14.5038167938931,21.1111111111111,19.4144838212635,11.1111111111111,14.2394822006472,11.3207547169811,13.3333333333333,5.20833333333333,13.4615384615385,20.2614379084967,20.0836820083682,20.5882352941176,26.3157894736842,20.952380952381,19.3939393939394,7.88732394366197,22.1662468513854,15.1639344262295,20.8711433756806,21.5277777777778,16.4179104477612,22.3796033994334,19.4144838212635,18.2758620689655,16.0535117056856,17.8545972915182,21.5152986886838,20.6653870761356,10.9756097560976,17.2839506172839,16.4978292329957
"MK",," "," ",a,a,a," ",a,a,a,b," ",b,bc,b," ",b,b," "," "," ",c," "," ",g,g,g,gil,g,g," ",gi,g,gi,gi,g,gi," "," "," ",d,adef,adef," ",d,d
"RW","超能 Chaoneng",243.0,28.0,105.0,73.0,37.0,19.0,72.0,78.0,74.0,19.0,32.0,99.0,93.0,69.0,39.0,22.0,113.0,9.0,19.0,4.0,5.0,6.0,4.0,5.0,11.0,7.0,4.0,4.0,12.0,14.0,31.0,19.0,59.0,26.0,11.0,31.0,113.0,18.0,51.0,206.0,136.0,115.0,19.0,61.0,52.0
"PV",,7.11566617862372,5.62248995983936,8.19032761310452,6.93257359924027,6.3573883161512,5.49132947976879,7.72532188841202,6.20031796502385,8.41865756541524,6.48464163822526,5.29801324503311,7.66847405112316,7.57946210268949,8.72313527180784,4.9618320610687,4.07407407407407,8.70570107858243,4.76190476190476,6.14886731391586,3.77358490566038,5.55555555555556,6.25,7.69230769230769,3.26797385620915,4.60251046025105,6.86274509803922,3.00751879699248,3.80952380952381,7.27272727272727,3.94366197183099,7.80856423173804,7.78688524590164,10.7078039927405,9.02777777777778,8.2089552238806,8.78186968838527,8.70570107858243,6.20689655172414,5.68561872909699,7.34141126158232,6.60514813016027,7.3576455534229,11.5853658536585,7.53086419753086,7.52532561505065
"MK",," "," ",a," "," "," "," "," ",ac," "," ",b,b,bc," "," ",bc," "," "," "," "," "," "," "," "," "," "," ",d," ",abdeg,adg,abdeg,abdeg,adg,abdeg," "," "," "," "," "," ",ab," "," "
"RW","奥妙 Omo",174.0,17.0,51.0,64.0,42.0,49.0,45.0,47.0,33.0,18.0,39.0,73.0,44.0,55.0,52.0,17.0,50.0,7.0,10.0,19.0,21.0,3.0,6.0,2.0,14.0,3.0,10.0,4.0,8.0,10.0,13.0,10.0,8.0,32.0,11.0,9.0,50.0,16.0,57.0,146.0,116.0,75.0,11.0,60.0,47.0
"PV",,5.09516837481698,3.4136546184739,3.97815912636505,6.07787274453941,7.21649484536082,14.1618497109827,4.82832618025751,3.73608903020668,3.7542662116041,6.14334470989761,6.45695364238411,5.65453137103021,3.58598207008965,6.95322376738306,6.61577608142494,3.14814814814815,3.85208012326656,3.7037037037037,3.23624595469256,17.9245283018868,23.3333333333333,3.125,11.5384615384615,1.30718954248366,5.85774058577406,2.94117647058824,7.5187969924812,3.80952380952381,4.84848484848485,2.8169014084507,3.27455919395466,4.0983606557377,1.4519056261343,11.1111111111111,8.2089552238806,2.54957507082153,3.85208012326656,5.51724137931035,6.35451505016722,5.20313613684961,5.63380281690141,4.79846449136276,6.70731707317073,7.40740740740741,6.80173661360347
"MK",," "," "," ",ab,ab,bcd," "," "," ",d,d,d," ",cd,cd," "," "," "," ",c,cd," ",c," ",agjm," ",aghjm," ",aj," ",j,aj," ",abcefghijm,acghjm," "," "," "," "," "," "," "," ",abc,c
