"BE","QPS Tables 2.1"
"JH","Project Sheet1     "
"JF"," "
"TB","B0A2"
"VT","(B0) TOMA"
"HT","Header B"
"BT","b1.All Respondents"
"CH",,"Aug","P12M Product¡¾Aug¡¿",,,,,,,,,,,,"Sep","P12M Product¡¾Sep¡¿",,,,,,,,,,,,"Nov","P12M Product¡¾Nov¡¿",,,,,,,,,,,,"Jan","P12M Product¡¾Jan¡¿",,,,,,,,,,,,"March","P12M Product¡¾March¡¿",,,,,,,,,,,
"CL",,"National (a)","Bar only (a)","Bar user (b)","Non-Bar User (c)","LQD only (d)","LQD user (e)","PWD only (f)","PWD (g)","LQD+PWD (h)","LQD+BAR (i)","PWD+BAR (j)","SUD ONLY (k)","SUD USER (l)","National (a)","Bar only (a)","Bar user (b)","Non-Bar User (c)","LQD only (d)","LQD user (e)","PWD only (f)","PWD (g)","LQD+PWD (h)","LQD+BAR (i)","PWD+BAR (j)","SUD ONLY (k)","SUD USER (l)","National (a)","Bar only (a)","Bar user (b)","Non-Bar User (c)","LQD only (d)","LQD user (e)","PWD only (f)","PWD (g)","LQD+PWD (h)","LQD+BAR (i)","PWD+BAR (j)","SUD ONLY (k)","SUD USER (l)","National (a)","Bar only (a)","Bar user (b)","Non-Bar User (c)","LQD only (d)","LQD user (e)","PWD only (f)","PWD (g)","LQD+PWD (h)","LQD+BAR (i)","PWD+BAR (j)","SUD ONLY (k)","SUD USER (l)","National (a)","Bar only (a)","Bar user (b)","Non-Bar User (c)","LQD only (d)","LQD user (e)","PWD only (f)","PWD (g)","LQD+PWD (h)","LQD+BAR (i)","PWD+BAR (j)","SUD ONLY (k)","SUD USER (l)"
"RU","Unweighted row",2459.0,78.0,1075.0,1384.0,654.0,2034.0,235.0,1229.0,906.0,909.0,699.0,13.0,65.0,2747.0,115.0,1145.0,1602.0,734.0,2225.0,276.0,1446.0,1075.0,938.0,765.0,18.0,115.0,2738.0,127.0,1081.0,1657.0,762.0,2168.0,299.0,1289.0,875.0,847.0,619.0,5.0,76.0,2719.0,94.0,1173.0,1546.0,641.0,2203.0,273.0,1449.0,1046.0,967.0,748.0,7.0,85.0,2808.0,80.0,1275.0,1533.0,533.0,2301.0,260.0,1684.0,1272.0,1074.0,878.0,5.0,142.0
"RT","×ÜÌå",3000.0825046684,103.610925624788,1317.06126260773,1683.02124206068,778.895296883638,2485.83810923861,271.561572792265,1507.91871919375,1121.15072487345,1101.5952895416,855.214528515581,15.546220704217,86.2165328496003,2999.80487700562,116.288923769595,1203.97952507388,1795.82535193174,814.585086491204,2413.5979413408,326.130890960134,1563.30614979768,1136.81387045205,989.893782811479,803.548479986549,22.5358641064368,126.054051711993,3000.43056345088,152.62532945901,1171.52450811071,1828.90605534017,823.738052116516,2345.62642498465,333.665202689629,1396.96073225167,938.921513543088,891.804353322205,663.385018738154,6.42389330963891,92.4458026469746,2719.0,94.0,1173.0,1546.0,641.0,2203.0,273.0,1449.0,1046.0,967.0,748.0,7.0,85.0,2999.88072179584,86.5634858628805,1347.80626541857,1652.07445637725,569.023975338283,2450.01459540204,287.267181137566,1815.33649699297,1367.57938282559,1134.7536090942,930.925715435334,4.4154612215475,149.831380627604
"PV",,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"RW","Ì­×Õ Tide",157.216845720547,5.39775565172783,62.9639737434039,94.2528719771431,29.3486308807823,119.699540223837,18.4771092628067,103.276160866665,73.4459649763499,47.4577209278902,52.896030815688,2.28935395466657,3.91216850354001,178.208852163687,5.3934851265508,67.4668909285947,110.741961235093,32.3699465278674,135.432406718973,22.1133513482959,121.708454561602,87.6465747528143,50.706178200915,51.9483014945164,2.72648694726038,5.02844163101563,166.566169604983,7.8526228959226,54.199846477593,112.366323127391,29.4452398419423,110.678316486942,35.6815965836394,105.88680246741,58.6467220787842,37.3312728867356,34.0724593015371,0.0,4.21130808290137,157.0,5.0,73.0,84.0,25.0,113.0,24.0,103.0,65.0,55.0,51.0,0.0,4.0,174.144202717213,8.85128290320031,87.4929176570276,86.6512850601851,19.4115971238466,134.609656103236,19.5209541150634,112.416108142244,82.9303880016666,70.5857945373141,53.1444288998611,0.0,10.8243965491675
"PV",,5.24041740438483,5.20963944601269,4.78064122991042,5.60021879829281,3.76798152437257,4.81525887703525,6.80402203920842,6.84892093665928,6.55094478796688,4.30809040111621,6.1851183594251,14.7261125274362,4.53760824546791,5.94068145997462,4.63800416386775,5.60365766390044,6.16663313701241,3.97379562487447,5.61122481914855,6.78051419268928,7.7853243638396,7.70984389185557,5.12238576313715,6.46486214439558,12.0984353401458,3.9891154331989,5.55140890890709,5.14503256029435,4.62643727061245,6.14390896674519,3.57458779114133,4.71849717022466,10.6938321095562,7.57979805894312,6.24617939123331,4.18603842285215,5.13615145641176,0.0,4.55543460310817,5.77418168444281,5.31914893617021,6.2233589087809,5.43337645536869,3.90015600624025,5.12936904221516,8.79120879120879,7.10835058661146,6.21414913957935,5.68769389865564,6.81818181818182,0.0,4.70588235294118,5.80503756205893,10.2251923140215,6.49150548575732,5.244998778699,3.41138475093364,5.49423894681519,6.79540003064785,6.19257687643349,6.06402736419748,6.22036307896464,5.70877224881567,0.0,7.22438550844755
"MK",," "," "," ",d," "," ",d,bdei,bdei," ",di," "," "," "," "," ",d," ",d,d,bcdeil,bdeil," ",d," "," "," "," "," ",bdei," "," ",abcdehijl,bdeij,di," "," "," "," "," "," ",d," "," "," ",cdei,cde,d,d,d," "," "," ",d,d,d," ",d,d,d,d,d,d," ",d
"RW","±ÌÀË Ariel",146.255727715241,2.00174106494907,64.3483401789759,81.9073875362649,23.4303589232405,126.429235001175,13.1808357039601,66.8856441294304,49.8604543953999,58.5022450839564,35.3338127785125,0.799561915086177,15.3803591774665,127.028457877046,5.63847907869195,57.9680935827661,69.0603642942798,19.8601726419243,93.2951030982514,15.0499193521603,70.2786669567517,48.2375526266949,46.7572117003446,34.7497057531771,2.99030229778045,15.4190161601446,127.368807361305,5.30231896553248,55.0577015109362,72.3111058503693,37.2620880141823,111.158659385465,7.18164712769591,51.9132057033848,41.0053766930767,47.3613879307935,26.5478117609406,0.0,7.67084262906839,135.0,7.0,61.0,74.0,27.0,106.0,13.0,78.0,58.0,47.0,44.0,1.0,8.0,168.033262568983,2.21589041195771,85.7960909647638,82.2371716042187,20.1218432677736,129.939009827414,18.9973745880153,120.601853696459,88.5527405976577,71.9626362833092,67.4951794714694,1.96723153262396,17.5408983531088
"PV",,4.87505685219168,1.93197874922775,4.88575148369095,4.86668768577028,3.00815257416311,5.08598023866885,4.85371901791236,4.4356266208561,4.44725702701821,5.31068402700781,4.13157302645949,5.14312726095091,17.8392225587366,4.23455734907147,4.84868110901393,4.8147075905804,3.84560582241433,2.43807221262438,3.86539537096325,4.61468685405822,4.49551528763876,4.24322344057197,4.72345745697539,4.32453132806111,13.2690820447677,12.2320670781561,4.24501766222561,3.47407536109955,4.69966280088553,3.95379006150863,4.52353608267106,4.73897540552274,2.1523512400471,3.71615353995736,4.36728481578188,5.31073746773717,4.00187086097272,0.0,8.29766458771661,4.96506068407503,7.4468085106383,5.2003410059676,4.78654592496766,4.21216848673947,4.81162051747617,4.76190476190476,5.38302277432712,5.54493307839388,4.86039296794209,5.88235294117647,14.2857142857143,9.41176470588235,5.60133145788516,2.55984424595349,6.36561004100386,4.97781266980861,3.53620306698171,5.30360145899828,6.61313781573881,6.64349854124735,6.47514445667474,6.34169706151034,7.25032925316777,44.5532512667951,11.7070925193606
"MK",," "," ",ad,ad," ",ad," "," "," ",ad," "," ",abcdefghij," "," ",d,d," ",d," ",d,d,d,d," ",abcdefghij," "," ",f,f,f,f," "," ",f,fg," "," ",f," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",ad," "," ",d,ad,acde,acd,ad,acde," ",abcdeghi
"RW","À¶ÔÂÁÁ Blue Moon",674.675292564606,19.7752895098871,274.084273857394,400.591018707211,245.095521038108,627.032754581746,15.488600568379,245.574330934968,222.680241414455,244.042324079276,150.590471792829,1.38995531062224,12.5899469453101,662.942342296002,8.09470048066363,217.422983468658,445.519358827344,292.189208892422,631.281551870587,13.2314385792794,219.20783314088,202.558875863334,204.064205538081,131.350903197048,1.62105957863346,28.2279626152068,650.492331896283,16.7292313524522,224.359390630211,426.132941266072,258.012222404925,585.565507369155,22.5458667617914,213.207592914541,183.208082366229,190.316254301293,125.601437420631,2.23047631265953,32.7084107200383,584.0,16.0,208.0,376.0,208.0,541.0,15.0,209.0,185.0,186.0,108.0,2.0,17.0,622.426817822995,2.87249755425472,242.134079036733,380.292738786263,195.64318686434,585.06740192812,23.8448482202648,279.085833790725,245.359754180717,230.569806704132,153.211762155637,0.760838730611436,30.0621417315539
