"BE","QPS Tables 2.1"
"JH","Project Sheet1     "
"JF"," "
"TB","B0A1"
"VT","【TOMA】"
"HT","Total wave"
"BT","b1.All Respondents"
"CH",,"1st half","National",,,,,"1st half-North","North",,,,
"CL",,"(a)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","(a)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)"
"RU","Unweighted row",7944.0,2459.0,2747.0,2738.0,2719.0,2808.0,2492.0,835.0,819.0,838.0,822.0,898.0
"RT","总体",9000.31794512493,3000.0825046684,2999.80487700562,3000.43056345088,2719.0,2999.88072179584,2816.33890042641,952.213222600581,924.007294287963,940.118383537841,822.0,900.580421026909
"PV",,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"RW","汰渍 Tide",501.991867489218,157.216845720547,178.208852163687,166.566169604983,157.0,174.144202717213,126.647419983634,36.6677478619166,44.6691599027738,45.3105122189432,41.0,40.9348417623125
"PV",,5.57749037922738,5.24041740438483,5.94068145997462,5.55140890890709,5.77418168444281,5.80503756205893,4.49688139323214,3.85079171257186,4.83428650173111,4.81966026963873,4.98783454987835,4.54538437729254
"MK",," "," "," "," "," "," "," "," "," "," "," "," "
"RW","碧浪 Ariel",400.652992953593,146.255727715241,127.028457877046,127.368807361305,135.0,168.033262568983,229.003602238358,88.2128188940128,65.0443608837546,75.7464224605904,77.0,108.642883647584
"PV",,4.45154266100798,4.87505685219168,4.23455734907147,4.24501766222561,4.96506068407503,5.60133145788516,8.13125161193085,9.26397752103206,7.03937742546476,8.05711533642629,9.36739659367397,12.0636515197278
"MK",," "," "," "," "," ",bc," ",b," "," ",b,abcd
"RW","蓝月亮 Blue Moon",1988.10996675689,674.675292564606,662.942342296002,650.492331896283,584.0,622.426817822995,613.51608270661,206.873733946613,219.098550760782,187.543797999216,184.0,189.914918175504
"PV",,22.0893303867533,22.4885579484814,22.0995154510764,21.6799661961893,21.4784847370357,20.7483855374886,21.7841710247911,21.725568290432,23.7117771813283,19.9489555021202,22.3844282238443,21.088057628318
"MK",," "," "," "," "," "," "," "," ",c," "," "," "
"RW","立白 Liby",2365.94708432467,761.886218268869,825.841179995198,778.219686060602,702.0,764.180936214188,583.388206880667,196.576059373113,191.967585115635,194.84456239192,160.0,183.763602820481
"PV",,26.2873722767338,25.3955088596165,27.5298299007883,25.9369337034598,25.8183155571901,25.4737106932946,20.7144178135785,20.6441219999283,20.7755486674555,20.7255347628331,19.4647201946472,20.4050186446359
"MK",," "," ",ae," "," "," "," "," "," "," "," "," "
"RW","好爸爸 Kispa",218.172538787016,85.9125504242071,59.1968739742127,73.0631143885957,62.0,92.1552478623397,65.010003470717,26.5015419007492,21.9410491099427,16.5674124600252,24.0,27.9261677429665
"PV",,2.42405368473888,2.8636729253452,1.97335748161402,2.43508765970453,2.28025009194557,3.07196373485051,2.30831607165154,2.78315205793625,2.37455366917318,1.76226874722723,2.91970802919708,3.10090771361907
"MK",," ",b," "," "," ",bd," "," "," "," "," ",c
"RW","雕牌 Diaopai",1389.21378140814,379.655761938957,479.188033687452,530.369985781732,496.0,549.333158529677,467.911713322846,121.771677823134,171.226265886866,174.913769612846,162.0,168.433385485833
"PV",,15.4351634006509,12.6548440367283,15.9739734194236,17.6764625798152,18.2420007355645,18.311833351855,16.6141835150593,12.7882783953119,18.5308348695248,18.6055046551279,19.7080291970803,18.702758971128
"MK",," "," ",a,ab,ab,ab," "," ",a,a,a,a
"RW","超能 Chaoneng",647.613771821485,296.105579291083,166.209084534236,185.299107996166,192.0,195.792249567752,246.082447292375,119.007445395854,58.2742592447092,68.8007426518111,76.0,70.5546973649907
"PV",,7.19545438027851,9.86991453836073,5.54066318807191,6.17575058237801,7.06141963957337,6.52666781533047,8.73767170758877,12.4979828646817,6.30668822691656,7.31830627467373,9.24574209245742,7.83435834464832
"MK",," ",bcde," "," ",b," "," ",bcde," "," ",b," "
"RW","奥妙 Omo",543.550417726004,224.267567245777,163.798425170256,155.484425309971,136.0,169.577426803673,148.213093853047,59.0527310819677,41.2341012483332,47.9262615227465,20.0,42.8214913853839
"PV",,6.03923573633775,7.4753799902768,5.46030264920957,5.18207044028854,5.00183891136447,5.65280564562441,5.26261572535206,6.20162897136519,4.46252984183507,5.09789643112722,2.4330900243309,4.75487700882456
"MK",," ",bcde," "," "," "," "," ",d,d,d," ",d
"RW","洁霸 Attack",39.5980090264838,27.6171084374844,5.45718933769119,6.52371125130824,8.0,7.87446718570763,9.99089466929563,9.43115303041299,0.0,0.559741638882636,0.0,1.42940077695025
"PV",,0.439962335418743,0.920544964830456,0.181918143393997,0.217425836504116,0.294225818315557,0.262492676075257,0.354747600431999,0.990445501760169,0.0,0.059539484461119,0.0,0.158719948110835
"MK",," ",bcde," "," "," "," "," ",bcde," "," "," "," "
"RW","威露士Walch",115.983855204453,55.1983309986555,28.3889161234225,32.3966080823748,23.0,26.3048501376056,31.1145593128847,18.0902517266828,8.04330287783234,4.98100470836957,8.0,7.34221360996036
"PV",,1.28866397733511,1.83989376668014,0.946358756232172,1.07973197170457,0.845899227657227,0.876863201476176,1.10478747100265,1.89981101893089,0.870480452649508,0.529827391485008,0.97323600973236,0.815275730910097
"MK",," ",bcde," "," "," "," "," ",bce," "," "," "," "
"RW","白猫 Baimao",119.830033770473,33.8110362990362,32.5995731802597,53.4194242911772,39.0,39.5338159263492,53.3319252645851,8.73363977125091,16.5657502139089,28.0325352794253,12.0,8.35097184647738
"PV",,1.33139778506802,1.12700354894984,1.08672312089846,1.78039195247158,1.43435086428834,1.3178462609901,1.89366149281645,0.917193708715633,1.79281595679116,2.98180907535641,1.45985401459854,0.927287741493978
"MK",," "," "," ",ab," "," "," "," "," ",ade," "," "
"TE"
"TB","B1A1"
"VT","【UBA】"
"HT","Total wave"
"BT","b1.All Respondents"
"CH",,"1st half","National",,,,,"1st half-North","North",,,,
"CL",,"(a)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","(a)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)"
